field_name,description,data_type,data_category,channel,can_be_negative
Quick_Commerce_Ad_Spend,Marketing spend made on Quick Commerce Platform Ads,Absolute,Spend,Quick Commerce,No
Quick_Commerce_Conversion_Perc,% times the ad resulted in a conversion (final purchase),Percentage,Response,Quick Commerce,No
Quick_Commerce_Conversions,Number of times the ad resulted in a conversion (final purchase),Absolute,Response,Quick Commerce,No
Quick_Commerce_Impression,Number of times an Ad on some Quick-Commerce platform reached user's screen,Absolute,Response,Quick Commerce,No
Influencer_Marketing_Spend,Spend made on Influencer Marketing,Absolute,Spend,Influencer,No
Influencer_Impressions,Number of times an Influencer post reached user's screen,Absolute,Response,Influencer,No
Influencer_Reach,Unique number of people/user who's screen was reached by the Influencer's post for the product promo,Absolute,Response,Influencer,No
Influencer_Views,Number of times users watch the post/reel/ad for some specified min duration,Absolute,Response,Influencer,No
Influencer_Engagements,"Total engagements on the post/reel/ad by the influencer including likes, share, save views",Absolute,Response,Influencer,No
App_Store_Ads_Spend,Marketing spend made for advertisement on app store,Absolute,Spend,App Store,No
App_Store_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,App Store,No
App_Store_Installs,number of app installs that can be attributed to the ad,Absolute,Response,App Store,No
App_Store_Impressions,Number of times an ad on App Store reached user's screen,Absolute,Response,App Store,No
Email_Marketing_Spend,Marketing spend made through Email Ads,Absolute,Spend,Email,No
Email_Sent,Number of emails sent,Absolute,Response,Email,No
Email_Delivered_Rate,% of people whom the ad was delivered on Email,Percentage,Response,Email,No
Email_Delivered_Count,Number of people whom the ad was delivered on Email,Absolute,Response,Email,No
Email_Read_Rate,% of people who read the ad sent via Email,Percentage,Response,Email,No
Email_Read_Count,Number of people who read the ad sent via Email,Absolute,Response,Email,No
SMS_Spend,Marketing spend made through SMS,Absolute,Spend,SMS,No
SMS_Sent,Number of marketing SMS sent,Absolute,Response,SMS,No
SMS_Delivered_Count,Number of people whom the ad was delivered on SMS,Absolute,Response,SMS,No
SMS_Delivered_Rate,% of people whom the ad was delivered on SMS,Percentage,Response,SMS,No
SMS_Read_Rate,% of people who read the ad sent on SMS,Percentage,Response,SMS,No
SMS_Read_Count,Number of people who read the ad sent on SMS,Absolute,Response,SMS,No
Whatsapp_Spend,Marketing spend made through Whatsapp,Absolute,Spend,Whatsapp,No
Whatsapp_Sent,Number of marketing WhatsApp messages sent,Absolute,Response,Whatsapp,No
Whatsapp_Delivered_Count,Number of people whom the ad was delivered on whatsapp,Absolute,Response,Whatsapp,No
Whatsapp_Read_Rate,% of people who read the ad sent on whatsapp,Percentage,Response,Whatsapp,No
Loyalty_Program_Spend,Marketing spend made through launching loyalty programs,Absolute,Spend,Loyalty Program,No
